id	id_parent	name	kname	original_name	name_aka	vtype	tags	vlink	id_artist	id_original_artist	releasedate	publishedon	views	likes	dislikes	lastupdate	recentviews	recentlikes	awards	regionlocked
1	0	When would it be	언제쯤이면	[MV] YOON HYUN SANG(윤현상) _ When would it be(언제쯤이면) (Duet. IU(아이유))		main		o6HFiVaK15I	101	0	2014-10-30	2014-10-30 00:00:00	9049525	62356	719	2022-06-17 04:03:04	495	4	0	
2	0	Not Spring, Love or Cherry Blossoms	봄,사랑,벚꽃 말고	[MV] HIGH4, IU(하이포, 아이유) _ Not Spring, Love, or Cherry Blossoms(봄,사랑,벚꽃 말고)		main		ouR4nn1G9r4	100	0	2014-04-07	2014-04-08 00:00:00	125689148	812862	14266	2022-06-17 06:46:43	13592	97	1	
3	0	Good day	좋은 날	IU (아이유) _ Good Day (좋은 날) _ MV		main		jeqdYqsrsA0	98	0	2011-02-07	2011-02-07 00:00:00	55790851	529353	12543	2022-06-17 08:31:06	8653	149	7	
4	3	Good day		IU(아이유) - GOOD DAY practice film		alternate		va193VEo5hk	98	0	2011-06-08	2011-06-08 00:00:00	2032074	22307	310	2022-06-17 05:31:59	30	2	0	
6	0	You & I	너랑나	IU(아이유) _ YOU\\u0026I(너랑나) MV		main		f_iQRO5BdCM	98	0	2011-11-28	2011-11-29 00:00:00	45681574	352807	9058	2022-06-17 08:17:41	3675	44	9	
7	6	You & I		IU(아이유) _ YOU\\u0026I(너랑 나) (Performance ver.)		alternate		NJR8Inf77Ac	98	0	2011-12-05	2011-12-06 00:00:00	35113138	196701	5148	2022-06-17 09:01:15	13013	56	0	
8	0	SOGYEOKDONG	소격동	[MV] IU(아이유) _ SOGYEOKDONG(소격동)		main		GHu39FEFIks	98	0	2014-10-05	2014-10-06 00:00:00	9565651	65397	1745	2022-06-16 16:46:47	594	7	1	
9	0	The red shoes	분홍신	[MV] IU(아이유) _ The red shoes(분홍신)		main		Q0xvVgKJxfs	98	0	2013-10-07	2013-10-08 00:00:00	19507986	153108	7673	2022-06-16 16:48:11	1183	11	6	
10	9	The red shoes		[MV] IU(아이유) _ The red shoes(분홍신) (Performance ver.)		alternate		js3PTlQFakk	98	0	2013-10-20	2013-10-21 00:00:00	2860594	28378	807	2022-06-17 12:16:41	272	8	0	JP
12	0	My Old Story	나의 옛날이야기	[MV] IU(아이유) _ Naui Yetnal Iyagi(나의 옛날이야기) : My old story	Naui Yetnal Iyagi	main	m	npttud7NkL0	98	1188	2014-05-15	2014-05-16 00:00:00	26592722	285043	3432	2022-06-16 16:45:40	5043	50	0	
14	0	Friday	금요일에 만나요	[MV] IU(아이유) _ Friday(금요일에 만나요) (Feat. Jang Yi-jeong(장이정) of HISTORY(히스토리))		main		EiVmQZwJhsA	98	0	2013-12-19	2013-12-20 00:00:00	47702440	277999	4610	2022-06-17 08:31:39	5136	48	4	
16	17	Darling		Girl's Day(걸스데이) 'Darling(달링)' Official MV		duplicate		JP9NuaxhgcM	77	0	2014-07-13	2014-07-13 00:00:00	5297993	53517	2096	2022-06-16 17:00:09	128	2	0	
