id_artist	id_subgroup	startyear	endyear	roles
4	29	2009	0	
8	1268	2013	2013	
12	40	2013	0	R
13	796	2015	2015	
13	1412	2016	2016	
13	1423	2021	2021	
15	65	2009	2016	R
15	161	2016	2016	
15	1067	2018	0	
20	1242	2018	2018	
23	1173	2018	0	
25	61	2011	0	V
25	115	2016	0	
25	182	2017	0	
25	192	2016	0	
25	647	2018	0	
25	785	2016	2016	
25	955	2021	2021	
25	1021	2021	0	
25	1350	2021	2021	
25	62	2016	0	VRD
25	373	2012	0	V
25	526	2019	0	VL
28	29	2009	0	
33	1451	2022	0	VDL
36	1240	2021	2021	
41	1438	2014	2014	
41	61	2011	0	V
41	42	2016	0	
41	530	2016	2016	
41	545	2017	0	
41	785	2016	2016	
41	1333	2017	2017	
41	1405	2017	2017	
41	62	2016	0	VM
41	64	2012	2016	V
43	16	2012	2017	VI
43	248	2013	2016	VI
44	4	2009	2017	RDL
49	1223	2020	2020	
49	2913	2015	2015	
53	116	2016	0	
53	194	2011	2013	
53	754	2009	2012	
58	59	2017	0	
58	216	2016	2016	
58	657	2017	0	
61	497	2016	2016	
66	99	2012	2012	VRD
68	28	2006	0	VRL
68	73	2014	0	R
68	74	2010	0	R
70	37	2006	0	VDM
71	131	2002	0	V
71	72	2014	0	
78	2909	2009	2009	
82	117	2007	2016	VD
83	1242	2018	2018	
84	299	2016	0	
84	191	2008	2018	VRm
84	1442	2012	2012	
88	174	2010	2017	VRDL
88	89	2015	0	
88	90	2014	0	
88	91	2015	0	
88	227	2017	2017	
88	301	2017	0	
88	833	2016	2016	
88	1278	2021	2021	
88	175	2011	2017	VRL
92	2647	2020	0	VR
93	7	2009	2016	R
93	250	2017	2018	VRL
93	205	2011	2014	VR
93	219	2007	2008	VRD
93	1313	2021	0	VRD
93	159	2012	2012	
98	99	2012	2012	VL
98	100	2014	2014	
98	101	2014	0	
98	549	2010	0	
98	946	2011	0	
103	7	2009	2016	VR
103	6	2013	2013	V
104	78	2007	2014	V
105	16	2012	2020	VRIl
105	248	2013	2016	RIL
106	241	2012	2018	V
106	1404	2018	2018	
109	1438	2014	2014	
109	172	2008	2017	V
109	658	2014	0	
112	751	2020	0	
114	115	2016	0	
114	116	2016	0	
114	1247	2014	2014	
119	81	2016	2020	V
119	957	2017	2017	
119	309	2018	2020	V
119	94	2016	2017	
120	121	2015	0	
120	122	2015	0	
120	301	2017	0	
120	1336	2013	0	
123	1438	2010	2010	
123	189	2005	0	VM
123	696	2006	0	V
