musicshow	id_artist	date	musicname	id_musicvideo
musicbank	193	2010-01-01	Bo Peep Bo Peep	3572
inkigayo	193	2010-01-03	Bo Peep Bo Peep	3572
musicbank	193	2010-01-08	Bo Peep Bo Peep	3572
inkigayo	193	2010-01-10	Bo Peep Bo Peep	3572
inkigayo	193	2010-01-17	Bo Peep Bo Peep	3572
inkigayo	11	2010-01-24	Because of You	890
musicbank	46	2010-01-29	I'm a Loner	8735
inkigayo	46	2010-01-31	I'm a Loner	8735
musicbank	78	2010-02-05	Oh!	128
inkigayo	3	2010-02-07	Can't Let You Go Even If I Die	0
musicbank	78	2010-02-12	Oh!	128
inkigayo	78	2010-02-14	Oh!	128
musicbank	78	2010-02-19	Oh!	128
inkigayo	78	2010-02-21	Oh!	128
countdown	3	2010-02-25	Can't Let You Go Even If I Die	0
musicbank	78	2010-02-26	Oh!	128
inkigayo	78	2010-02-28	Oh!	128
countdown	117	2010-03-04	Lupin	8853
musicbank	78	2010-03-05	Oh!	128
inkigayo	3	2010-03-07	Can't Let Go Even If I Die	0
countdown	117	2010-03-11	Lupin	8853
musicbank	117	2010-03-12	Lupin	8853
inkigayo	117	2010-03-14	Lupin	8853
countdown	193	2010-03-18	I Go Crazy Because Of You	0
musicbank	117	2010-03-19	Lupin	8853
inkigayo	193	2010-03-21	I Go Crazy Because of You	0
countdown	26	2010-03-25	Shock	465
musicbank	117	2010-03-26	Lupin	8853
inkigayo	193	2010-03-28	I Go Crazy Because of You	0
countdown	3	2010-04-01	I Did Wrong	894
musicbank	78	2010-04-02	Run Devil Run	129
inkigayo	78	2010-04-04	Run Devil Run	129
countdown	259	2010-04-08	Love Song	6690
musicbank	78	2010-04-09	Run Devil Run	129
inkigayo	78	2010-04-11	Run Devil Run	129
countdown	259	2010-04-15	Love Song	6690
musicbank	259	2010-04-16	Love Song	6690
inkigayo	259	2010-04-18	Love Song	6690
countdown	129	2010-04-22	Chitty Chitty Bang Bang	6572
musicbank	259	2010-04-23	Love Song	6690
inkigayo	129	2010-04-25	Chitty Chitty Bang Bang	6572
countdown	5	2010-04-29	Without U	902
musicbank	259	2010-04-30	Love Song	6690
inkigayo	129	2010-05-02	Chitty Chitty Bang Bang	6572
countdown	5	2010-05-06	Without U	902
musicbank	5	2010-05-07	Without U	902
inkigayo	129	2010-05-09	Chitty Chitty Bang Bang	6572
countdown	5	2010-05-13	Without U	902
musicbank	5	2010-05-14	Without U	902
inkigayo	5	2010-05-16	Without U	902
countdown	390	2010-05-20	Love U	0
musicbank	189	2010-05-21	Bonamana	299
inkigayo	5	2010-05-23	Without U	902
countdown	219	2010-05-27	2 Different Tears	10279
musicbank	189	2010-05-28	Bonamana	299
inkigayo	189	2010-05-30	Bonamana	299
countdown	140	2010-06-03	Y	0
musicbank	189	2010-06-04	Bonamana	299
inkigayo	189	2010-06-06	Bonamana	299
countdown	46	2010-06-10	Love	0
musicbank	185	2010-06-11	Love Ya	0
inkigayo	189	2010-06-13	Bonamana	299
countdown	7	2010-06-17	HuH	193
musicbank	185	2010-06-18	Love Ya	0
inkigayo	46	2010-06-20	Love	1765
countdown	999	2010-06-24	Goodbye Romance	0
musicbank	78	2010-06-25	Oh!	128
inkigayo	98	2010-06-27	Nagging	11748
countdown	46	2010-07-01	Love	0
musicbank	98	2010-07-02	Nagging	11748
inkigayo	46	2010-07-04	Love	1765
countdown	199	2010-07-08	I Need a Girl	534
musicbank	189	2010-07-09	No Other	927
inkigayo	189	2010-07-11	No Other	927
countdown	199	2010-07-15	I Need a Girl	534
musicbank	199	2010-07-16	I Need a Girl	534
inkigayo	199	2010-07-18	I Need a Girl	534
countdown	142	2010-07-22	Bad Girl, Good Girl	551
musicbank	142	2010-07-23	Bad Girl, Good Girl	551
inkigayo	199	2010-07-25	I Need a Girl	534
countdown	371	2010-07-29	Better Together	3342
musicbank	172	2010-07-30	Lucifer	535
inkigayo	142	2010-08-01	Bad Girl, Good Girl	551
countdown	371	2010-08-05	Better Together	3342
musicbank	172	2010-08-06	Lucifer	535
inkigayo	172	2010-08-08	Lucifer	535
countdown	69	2010-08-12	I'll Back Off So You Can Live Better	0
musicbank	33	2010-08-13	Hurricane Venus	622
inkigayo	172	2010-08-15	Lucifer	535
countdown	1000	2010-08-19	I'm This Person	0
musicbank	33	2010-08-20	Hurricane Venus	622
inkigayo	33	2010-08-22	Hurricane Venus	622
countdown	1001	2010-08-26	I Wanna Cheat	0
musicbank	33	2010-08-27	Hurricane Venus	622
inkigayo	33	2010-08-29	Hurricane Venus	622
countdown	199	2010-09-02	I'll Be There	886
musicbank	788	2010-09-03	I Was Able to Eat Well	0
inkigayo	67	2010-09-05	Love Love Love	0
countdown	67	2010-09-09	Love Love Love	0
musicbank	67	2010-09-10	Love Love Love	0
inkigayo	67	2010-09-12	Love Love Love	0
countdown	4	2010-09-16	Clap Your Hands	357
musicbank	4	2010-09-17	Can't nobody	352
inkigayo	4	2010-09-19	Can't Nobody	355
countdown	4	2010-09-23	Can't Nobody	352
musicbank	4	2010-09-24	Go Away	356
inkigayo	4	2010-09-26	Can't Nobody	355
countdown	4	2010-09-30	Can't Nobody	352
musicbank	4	2010-10-01	Go Away	356
inkigayo	4	2010-10-03	Can't Nobody	355
countdown	4	2010-10-07	Can't Nobody	352
musicbank	26	2010-10-08	Breath	464
inkigayo	4	2010-10-10	Go Away	356
countdown	26	2010-10-14	Breath	464
musicbank	172	2010-10-15	Hello	897
inkigayo	172	2010-10-17	Hello	897
countdown	142	2010-10-21	Breath	555
musicbank	5	2010-10-22	I'll Be Back	574
inkigayo	5	2010-10-24	I'll Be Back	574
countdown	5	2010-10-28	I'll Be Back	574
musicbank	5	2010-10-29	I'll Be Back	574
inkigayo	70	2010-10-31	Irreversible	3371
countdown	5	2010-11-04	I'll Be Back	574
musicbank	78	2010-11-05	Hoot	136
inkigayo	78	2010-11-07	Hoot	136
countdown	158	2010-11-11	Right Now	955
musicbank	78	2010-11-12	Hoot	136
inkigayo	3	2010-11-14	You wouldn't Answer my calls	3291
musicbank	78	2010-11-19	Hoot	136
inkigayo	78	2010-11-21	Hoot	136
musicbank	78	2010-11-26	Hoot	136
inkigayo	78	2010-11-28	Hoot	136
musicbank	78	2010-12-03	Hoot	136
